Instancia,Inicial,Iteraciones,ItEfectivas,CantMemoria,PorcentajeVecindad,Aspirar,Tabu,Algoritmo,Time,Impacto,Optimo,N,Gap
CMI_n20.in,S-LF,100,4,5,5,True,TSS-E,TSS-E-S-LF,103.62,10,25,20,0.6
CMI_n20.in,S-LF,100,4,5,5,False,TSS-E,TSS-E-S-LF,107.93700000000001,10,25,20,0.6
CMI_n20.in,S-LF,100,4,20,5,True,TSS-E,TSS-E-S-LF,101.12100000000001,10,25,20,0.6
CMI_n20.in,S-LF,100,4,20,5,False,TSS-E,TSS-E-S-LF,198.763,10,25,20,0.6
CMI_n20.in,S-LF,100,4,35,5,True,TSS-E,TSS-E-S-LF,103.498,10,25,20,0.6
CMI_n20.in,S-LF,100,4,35,5,False,TSS-E,TSS-E-S-LF,194.96099999999998,10,25,20,0.6
CMI_n20.in,S-LF,100,4,50,5,True,TSS-E,TSS-E-S-LF,192.45399999999998,10,25,20,0.6
CMI_n20.in,S-LF,100,4,50,5,False,TSS-E,TSS-E-S-LF,134.00699999999998,10,25,20,0.6
CMI_n20.in,S-LF,100,4,100,5,True,TSS-E,TSS-E-S-LF,109.53999999999999,10,25,20,0.6
CMI_n20.in,S-LF,100,4,100,5,False,TSS-E,TSS-E-S-LF,127.15599999999999,10,25,20,0.6
CMI_n20.in,S-LF,300,4,5,5,True,TSS-E,TSS-E-S-LF,103.706,10,25,20,0.6
CMI_n20.in,S-LF,300,4,5,5,False,TSS-E,TSS-E-S-LF,105.893,10,25,20,0.6
CMI_n20.in,S-LF,300,4,20,5,True,TSS-E,TSS-E-S-LF,143.36499999999998,10,25,20,0.6
CMI_n20.in,S-LF,300,4,20,5,False,TSS-E,TSS-E-S-LF,101.899,10,25,20,0.6
CMI_n20.in,S-LF,300,4,35,5,True,TSS-E,TSS-E-S-LF,98.90899999999999,10,25,20,0.6
CMI_n20.in,S-LF,300,4,35,5,False,TSS-E,TSS-E-S-LF,94.83999999999999,10,25,20,0.6
CMI_n20.in,S-LF,300,4,50,5,True,TSS-E,TSS-E-S-LF,104.253,10,25,20,0.6
CMI_n20.in,S-LF,300,4,50,5,False,TSS-E,TSS-E-S-LF,122.74,10,25,20,0.6
CMI_n20.in,S-LF,300,4,100,5,True,TSS-E,TSS-E-S-LF,94.558,10,25,20,0.6
CMI_n20.in,S-LF,300,4,100,5,False,TSS-E,TSS-E-S-LF,113.178,10,25,20,0.6
CMI_n20.in,S-LF,300,4,200,5,True,TSS-E,TSS-E-S-LF,96.50699999999999,10,25,20,0.6
CMI_n20.in,S-LF,300,4,200,5,False,TSS-E,TSS-E-S-LF,151.335,10,25,20,0.6
CMI_n20.in,S-LF,300,4,300,5,True,TSS-E,TSS-E-S-LF,105.036,10,25,20,0.6
CMI_n20.in,S-LF,300,4,300,5,False,TSS-E,TSS-E-S-LF,97.077,10,25,20,0.6
CMI_n20.in,S-LF,500,4,5,5,True,TSS-E,TSS-E-S-LF,121.303,10,25,20,0.6
CMI_n20.in,S-LF,500,4,5,5,False,TSS-E,TSS-E-S-LF,99.801,10,25,20,0.6
CMI_n20.in,S-LF,500,4,20,5,True,TSS-E,TSS-E-S-LF,102.093,10,25,20,0.6
CMI_n20.in,S-LF,500,4,20,5,False,TSS-E,TSS-E-S-LF,94.358,10,25,20,0.6
CMI_n20.in,S-LF,500,4,35,5,True,TSS-E,TSS-E-S-LF,99.94,10,25,20,0.6
CMI_n20.in,S-LF,500,4,35,5,False,TSS-E,TSS-E-S-LF,93.194,10,25,20,0.6
CMI_n20.in,S-LF,500,4,50,5,True,TSS-E,TSS-E-S-LF,96.239,10,25,20,0.6
CMI_n20.in,S-LF,500,4,50,5,False,TSS-E,TSS-E-S-LF,95.69999999999999,10,25,20,0.6
