Impacto,Mejora
20,0
22,1
24,1
26,1
29,1
31,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
39,0
39,0
39,0
39,0
39,0
39,0
39,0
40,1
41,1
42,1
44,1
45,1
46,1
47,1
47,0
46,0
46,0
46,0
46,0
45,0
44,0
45,0
46,0
45,0
44,0
45,0
46,0
45,0
46,0
46,0
45,0
45,0
45,0
45,0
45,0
44,0
44,0
45,0
45,0
44,0
44,0
44,0
44,0
44,0
45,0
44,0
44,0
45,0
45,0
45,0
44,0
44,0
44,0
44,0
44,0
44,0
45,0
45,0
44,0
44,0
44,0
44,0
43,0
45,0
46,0
45,0
45,0
45,0
45,0
45,0
44,0
45,0
45,0
45,0
44,0
43,0
43,0
43,0
43,0
43,0
44,0
44,0
44,0
44,0
44,0
44,0
45,0
44,0
44,0
45,0
44,0
44,0
44,0
45,0
44,0
44,0
43,0
43,0
43,0
43,0
44,0
44,0
44,0
44,0
43,0
43,0
43,0
43,0
44,0
44,0
44,0
43,0
43,0
43,0
44,0
45,0
46,0
47,0
47,0
46,0
46,0
46,0
46,0
45,0
44,0
45,0
46,0
45,0
44,0
45,0
46,0
45,0
46,0
46,0
45,0
45,0
45,0
45,0
45,0
44,0
44,0
45,0
45,0
44,0
44,0
44,0
44,0
44,0
45,0
44,0
44,0
45,0
45,0
45,0
44,0
44,0
44,0
44,0
44,0
44,0
45,0
45,0
44,0
44,0
44,0
44,0
43,0
45,0
46,0
45,0
45,0
45,0
45,0
45,0
44,0
45,0
45,0
45,0
44,0
43,0
43,0
43,0
43,0
43,0
44,0
44,0
44,0
44,0
44,0
44,0
45,0
44,0
44,0
45,0
44,0
44,0
44,0
45,0
44,0
44,0
43,0
43,0
43,0
43,0
44,0
44,0
44,0
44,0
43,0
43,0
43,0
43,0
44,0
44,0
44,0
43,0
43,0
43,0
44,0
45,0
46,0
47,0
47,0
46,0
46,0
46,0
46,0
45,0
44,0
45,0
46,0
45,0
44,0
45,0
46,0
45,0
46,0
46,0
45,0
45,0
45,0
45,0
45,0
44,0
44,0
45,0
45,0
44,0
44,0
44,0
44,0
44,0
45,0
44,0
44,0
45,0
45,0
45,0
44,0
44,0
44,0
44,0
44,0
44,0
45,0
45,0
44,0
44,0
44,0
44,0
43,0
45,0
46,0
45,0
45,0
45,0
45,0
45,0
44,0
45,0
45,0
45,0
44,0
43,0
43,0
43,0
43,0
43,0
