Impacto,Mejora
13,0
15,1
17,1
19,1
20,1
22,1
24,1
26,1
28,1
30,1
31,1
33,1
34,1
36,1
37,1
38,1
38,0
39,1
40,1
40,0
40,0
40,0
40,0
40,0
40,0
41,1
41,0
42,1
42,0
42,0
42,0
42,0
42,0
41,0
42,0
41,0
42,0
42,0
41,0
41,0
40,0
41,0
41,0
41,0
41,0
40,0
41,0
41,0
41,0
40,0
42,0
44,1
45,1
46,1
45,0
46,0
45,0
44,0
43,0
44,0
43,0
41,0
40,0
40,0
40,0
39,0
38,0
39,0
39,0
39,0
38,0
39,0
39,0
38,0
36,0
38,0
37,0
36,0
38,0
40,0
42,0
42,0
42,0
41,0
40,0
39,0
38,0
38,0
38,0
37,0
37,0
36,0
34,0
36,0
35,0
34,0
33,0
33,0
34,0
35,0
34,0
