Impacto,Mejora
13,0
15,1
17,1
19,1
20,1
22,1
24,1
26,1
28,1
30,1
31,1
33,1
34,1
36,1
37,1
38,1
38,0
39,1
40,1
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
41,1
41,0
41,0
41,0
40,0
40,0
40,0
40,0
39,0
39,0
38,0
39,0
39,0
39,0
40,0
40,0
40,0
41,0
42,1
41,0
40,0
42,0
42,0
41,0
40,0
41,0
39,0
41,0
41,0
41,0
39,0
38,0
38,0
36,0
38,0
38,0
36,0
39,0
42,0
40,0
39,0
40,0
40,0
40,0
39,0
39,0
38,0
39,0
40,0
40,0
39,0
39,0
38,0
39,0
38,0
38,0
37,0
38,0
39,0
38,0
39,0
38,0
39,0
39,0
39,0
39,0
39,0
41,0
42,0
42,0
42,0
42,0
