Colores,Gap,Impacto,Inicial,Instancia,N,Optimo,Time
4.0,0.4444444444444444,15.0,S-LF,CMI_n18.in,18.0,27.0,4.098
5.0,0.6,10.0,S-LF,CMI_n20.in,20.0,25.0,4.392
3.0,0.3333333333333333,8.0,S-LF,CMI_n14.in,14.0,12.0,3.165
4.0,0.1,18.0,S-LF,CMI_n16.in,16.0,20.0,3.581
6.0,0.5384615384615384,12.0,S-LF,CMI_n22.in,22.0,26.0,4.460000000000001
3.0,0.0,1.0,S-LF,CMI_n6.in,6.0,1.0,2.068
3.0,0.0,3.0,S-LF,CMI_n10.in,10.0,3.0,3.5100000000000002
2.0,0.0,6.0,S-LF,CMI_n8.in,8.0,6.0,3.312
6.0,0.3157894736842105,26.0,S-LF,CMI_n26.in,26.0,38.0,5.383
4.0,0.5625,7.0,S-LF,CMI_n12.in,12.0,16.0,3.022
5.0,0.375,30.0,S-LF,CMI_n28.in,28.0,48.0,5.7299999999999995
5.0,0.23404255319148937,36.0,S-LF,CMI_n30.in,30.0,47.0,6.0169999999999995
5.0,0.42424242424242425,19.0,S-LF,CMI_n24.in,24.0,33.0,6.358
9.0,0.6666666666666666,9.0,W,CMI_n18.in,18.0,27.0,5.041
13.0,0.72,7.0,W,CMI_n20.in,20.0,25.0,5.321000000000001
8.0,0.5,6.0,W,CMI_n14.in,14.0,12.0,4.156
9.0,0.65,7.0,W,CMI_n16.in,16.0,20.0,4.819999999999999
13.0,0.6538461538461539,9.0,W,CMI_n22.in,22.0,26.0,7.499
5.0,0.0,1.0,W,CMI_n6.in,6.0,1.0,2.767
8.0,0.3333333333333333,2.0,W,CMI_n10.in,10.0,3.0,4.869
5.0,0.5,3.0,W,CMI_n8.in,8.0,6.0,3.006
14.0,0.6842105263157895,12.0,W,CMI_n26.in,26.0,38.0,8.704
7.0,0.6875,5.0,W,CMI_n12.in,12.0,16.0,4.196
17.0,0.7708333333333334,11.0,W,CMI_n28.in,28.0,48.0,9.643
17.0,0.723404255319149,13.0,W,CMI_n30.in,30.0,47.0,10.595
14.0,0.696969696969697,10.0,W,CMI_n24.in,24.0,33.0,8.032
7.0,0.5555555555555556,12.0,WP,CMI_n18.in,18.0,27.0,5.572
8.0,0.4,15.0,WP,CMI_n20.in,20.0,25.0,5.772
6.0,0.16666666666666666,10.0,WP,CMI_n14.in,14.0,12.0,4.795
6.0,0.45,11.0,WP,CMI_n16.in,16.0,20.0,4.872999999999999
8.0,0.38461538461538464,16.0,WP,CMI_n22.in,22.0,26.0,8.206
5.0,0.0,1.0,WP,CMI_n6.in,6.0,1.0,3.637
8.0,0.3333333333333333,2.0,WP,CMI_n10.in,10.0,3.0,5.153
4.0,0.3333333333333333,4.0,WP,CMI_n8.in,8.0,6.0,4.156
10.0,0.5,19.0,WP,CMI_n26.in,26.0,38.0,20.942
5.0,0.5,8.0,WP,CMI_n12.in,12.0,16.0,4.205
9.0,0.4375,27.0,WP,CMI_n28.in,28.0,48.0,15.921999999999999
12.0,0.574468085106383,20.0,WP,CMI_n30.in,30.0,47.0,11.055
9.0,0.45454545454545453,18.0,WP,CMI_n24.in,24.0,33.0,8.384
4.0,0.4444444444444444,15.0,S-LF,CMI_n18.in,18.0,27.0,3.6719999999999997
5.0,0.6,10.0,S-LF,CMI_n20.in,20.0,25.0,4.153
3.0,0.3333333333333333,8.0,S-LF,CMI_n14.in,14.0,12.0,2.935
4.0,0.1,18.0,S-LF,CMI_n16.in,16.0,20.0,3.1809999999999996
6.0,0.5384615384615384,12.0,S-LF,CMI_n22.in,22.0,26.0,4.33
3.0,0.0,1.0,S-LF,CMI_n6.in,6.0,1.0,1.925
3.0,0.0,3.0,S-LF,CMI_n10.in,10.0,3.0,3.07
2.0,0.0,6.0,S-LF,CMI_n8.in,8.0,6.0,3.12
6.0,0.3157894736842105,26.0,S-LF,CMI_n26.in,26.0,38.0,6.542
