Gap,Impacto,Inicial,Instancia,N,Optimo,Time
0.4444444444444444,15.0,S-LF,CMI_n18.in,18.0,27.0,4.68
0.6,10.0,S-LF,CMI_n20.in,20.0,25.0,5.417
0.3333333333333333,8.0,S-LF,CMI_n14.in,14.0,12.0,5.792000000000001
0.1,18.0,S-LF,CMI_n16.in,16.0,20.0,4.522
0.5384615384615384,12.0,S-LF,CMI_n22.in,22.0,26.0,5.395
0.0,1.0,S-LF,CMI_n6.in,6.0,1.0,2.964
0.0,3.0,S-LF,CMI_n10.in,10.0,3.0,4.588
0.0,6.0,S-LF,CMI_n8.in,8.0,6.0,3.509
0.3157894736842105,26.0,S-LF,CMI_n26.in,26.0,38.0,7.979
0.5625,7.0,S-LF,CMI_n12.in,12.0,16.0,5.242
0.375,30.0,S-LF,CMI_n28.in,28.0,48.0,7.8069999999999995
0.23404255319148937,36.0,S-LF,CMI_n30.in,30.0,47.0,7.058
0.42424242424242425,19.0,S-LF,CMI_n24.in,24.0,33.0,9.59
0.6666666666666666,9.0,W,CMI_n18.in,18.0,27.0,6.193
0.72,7.0,W,CMI_n20.in,20.0,25.0,6.9719999999999995
0.5,6.0,W,CMI_n14.in,14.0,12.0,7.229
0.65,7.0,W,CMI_n16.in,16.0,20.0,5.607
0.6538461538461539,9.0,W,CMI_n22.in,22.0,26.0,8.934
0.0,1.0,W,CMI_n6.in,6.0,1.0,4.657
0.3333333333333333,2.0,W,CMI_n10.in,10.0,3.0,5.923
0.5,3.0,W,CMI_n8.in,8.0,6.0,4.268
0.6842105263157895,12.0,W,CMI_n26.in,26.0,38.0,9.863999999999999
0.6875,5.0,W,CMI_n12.in,12.0,16.0,4.917999999999999
0.7708333333333334,11.0,W,CMI_n28.in,28.0,48.0,10.98
0.723404255319149,13.0,W,CMI_n30.in,30.0,47.0,11.906
0.696969696969697,10.0,W,CMI_n24.in,24.0,33.0,9.601
0.5555555555555556,12.0,WP,CMI_n18.in,18.0,27.0,15.73
0.4,15.0,WP,CMI_n20.in,20.0,25.0,7.224
0.16666666666666666,10.0,WP,CMI_n14.in,14.0,12.0,5.77
0.45,11.0,WP,CMI_n16.in,16.0,20.0,5.901
0.38461538461538464,16.0,WP,CMI_n22.in,22.0,26.0,9.415
0.0,1.0,WP,CMI_n6.in,6.0,1.0,3.699
0.3333333333333333,2.0,WP,CMI_n10.in,10.0,3.0,6.183
0.3333333333333333,4.0,WP,CMI_n8.in,8.0,6.0,4.670999999999999
0.5,19.0,WP,CMI_n26.in,26.0,38.0,10.631
0.5,8.0,WP,CMI_n12.in,12.0,16.0,7.123
0.4375,27.0,WP,CMI_n28.in,28.0,48.0,11.816
0.574468085106383,20.0,WP,CMI_n30.in,30.0,47.0,12.499
0.45454545454545453,18.0,WP,CMI_n24.in,24.0,33.0,9.523
0.4444444444444444,15.0,S-LF,CMI_n18.in,18.0,27.0,5.074999999999999
0.6,10.0,S-LF,CMI_n20.in,20.0,25.0,5.3660000000000005
0.3333333333333333,8.0,S-LF,CMI_n14.in,14.0,12.0,4.113
0.1,18.0,S-LF,CMI_n16.in,16.0,20.0,4.487
0.5384615384615384,12.0,S-LF,CMI_n22.in,22.0,26.0,5.332
0.0,1.0,S-LF,CMI_n6.in,6.0,1.0,3.0100000000000002
0.0,3.0,S-LF,CMI_n10.in,10.0,3.0,3.7750000000000004
0.0,6.0,S-LF,CMI_n8.in,8.0,6.0,3.279
0.3157894736842105,26.0,S-LF,CMI_n26.in,26.0,38.0,6.83
0.5625,7.0,S-LF,CMI_n12.in,12.0,16.0,3.76
0.375,30.0,S-LF,CMI_n28.in,28.0,48.0,6.874
0.23404255319148937,36.0,S-LF,CMI_n30.in,30.0,47.0,6.971
0.42424242424242425,19.0,S-LF,CMI_n24.in,24.0,33.0,8.026
0.6666666666666666,9.0,W,CMI_n18.in,18.0,27.0,5.9239999999999995
0.72,7.0,W,CMI_n20.in,20.0,25.0,6.446000000000001
0.5,6.0,W,CMI_n14.in,14.0,12.0,6.438
0.65,7.0,W,CMI_n16.in,16.0,20.0,5.886
0.6538461538461539,9.0,W,CMI_n22.in,22.0,26.0,8.472999999999999
0.0,1.0,W,CMI_n6.in,6.0,1.0,3.693
0.3333333333333333,2.0,W,CMI_n10.in,10.0,3.0,6.138
0.5,3.0,W,CMI_n8.in,8.0,6.0,4.2459999999999996
0.6842105263157895,12.0,W,CMI_n26.in,26.0,38.0,14.915
0.6875,5.0,W,CMI_n12.in,12.0,16.0,4.981
0.7708333333333334,11.0,W,CMI_n28.in,28.0,48.0,13.277000000000001
0.723404255319149,13.0,W,CMI_n30.in,30.0,47.0,14.881
0.696969696969697,10.0,W,CMI_n24.in,24.0,33.0,9.497
0.5555555555555556,12.0,WP,CMI_n18.in,18.0,27.0,6.553
0.4,15.0,WP,CMI_n20.in,20.0,25.0,7.52
0.16666666666666666,10.0,WP,CMI_n14.in,14.0,12.0,6.002999999999999
0.45,11.0,WP,CMI_n16.in,16.0,20.0,6.117
0.38461538461538464,16.0,WP,CMI_n22.in,22.0,26.0,9.202
0.0,1.0,WP,CMI_n6.in,6.0,1.0,3.6830000000000003
0.3333333333333333,2.0,WP,CMI_n10.in,10.0,3.0,6.289000000000001
0.3333333333333333,4.0,WP,CMI_n8.in,8.0,6.0,4.282
0.5,19.0,WP,CMI_n26.in,26.0,38.0,12.594
0.5,8.0,WP,CMI_n12.in,12.0,16.0,8.809000000000001
0.4375,27.0,WP,CMI_n28.in,28.0,48.0,12.022
0.574468085106383,20.0,WP,CMI_n30.in,30.0,47.0,15.482
0.45454545454545453,18.0,WP,CMI_n24.in,24.0,33.0,9.902
0.4444444444444444,15.0,S-LF,CMI_n18.in,18.0,27.0,4.890000000000001
0.6,10.0,S-LF,CMI_n20.in,20.0,25.0,6.633
0.3333333333333333,8.0,S-LF,CMI_n14.in,14.0,12.0,3.906
0.1,18.0,S-LF,CMI_n16.in,16.0,20.0,4.438
0.5384615384615384,12.0,S-LF,CMI_n22.in,22.0,26.0,5.108
0.0,1.0,S-LF,CMI_n6.in,6.0,1.0,2.8649999999999998
0.0,3.0,S-LF,CMI_n10.in,10.0,3.0,3.727
0.0,6.0,S-LF,CMI_n8.in,8.0,6.0,3.146
0.3157894736842105,26.0,S-LF,CMI_n26.in,26.0,38.0,6.303999999999999
0.5625,7.0,S-LF,CMI_n12.in,12.0,16.0,3.755
0.375,30.0,S-LF,CMI_n28.in,28.0,48.0,7.282
0.23404255319148937,36.0,S-LF,CMI_n30.in,30.0,47.0,7.301
0.42424242424242425,19.0,S-LF,CMI_n24.in,24.0,33.0,8.803999999999998
0.6666666666666666,9.0,W,CMI_n18.in,18.0,27.0,6.223
0.72,7.0,W,CMI_n20.in,20.0,25.0,6.388
0.5,6.0,W,CMI_n14.in,14.0,12.0,5.987
0.65,7.0,W,CMI_n16.in,16.0,20.0,7.375
0.6538461538461539,9.0,W,CMI_n22.in,22.0,26.0,8.644
0.0,1.0,W,CMI_n6.in,6.0,1.0,3.891
0.3333333333333333,2.0,W,CMI_n10.in,10.0,3.0,5.921
0.5,3.0,W,CMI_n8.in,8.0,6.0,4.181
0.6842105263157895,12.0,W,CMI_n26.in,26.0,38.0,10.057
0.6875,5.0,W,CMI_n12.in,12.0,16.0,5.37
0.7708333333333334,11.0,W,CMI_n28.in,28.0,48.0,10.882
0.723404255319149,13.0,W,CMI_n30.in,30.0,47.0,11.82
0.696969696969697,10.0,W,CMI_n24.in,24.0,33.0,9.188
0.5555555555555556,12.0,WP,CMI_n18.in,18.0,27.0,9.709000000000001
0.4,15.0,WP,CMI_n20.in,20.0,25.0,6.875
0.16666666666666666,10.0,WP,CMI_n14.in,14.0,12.0,7.342
0.45,11.0,WP,CMI_n16.in,16.0,20.0,6.099
0.38461538461538464,16.0,WP,CMI_n22.in,22.0,26.0,12.346
0.0,1.0,WP,CMI_n6.in,6.0,1.0,3.675
0.3333333333333333,2.0,WP,CMI_n10.in,10.0,3.0,6.991
0.3333333333333333,4.0,WP,CMI_n8.in,8.0,6.0,4.381
0.5,19.0,WP,CMI_n26.in,26.0,38.0,14.658
0.5,8.0,WP,CMI_n12.in,12.0,16.0,5.24
0.4375,27.0,WP,CMI_n28.in,28.0,48.0,11.362
0.574468085106383,20.0,WP,CMI_n30.in,30.0,47.0,16.828
0.45454545454545453,18.0,WP,CMI_n24.in,24.0,33.0,10.102
0.4444444444444444,15.0,S-LF,CMI_n18.in,18.0,27.0,6.642
0.6,10.0,S-LF,CMI_n20.in,20.0,25.0,5.22
0.3333333333333333,8.0,S-LF,CMI_n14.in,14.0,12.0,5.894
0.1,18.0,S-LF,CMI_n16.in,16.0,20.0,6.405
0.5384615384615384,12.0,S-LF,CMI_n22.in,22.0,26.0,5.633
0.0,1.0,S-LF,CMI_n6.in,6.0,1.0,3.141
0.0,3.0,S-LF,CMI_n10.in,10.0,3.0,3.576
0.0,6.0,S-LF,CMI_n8.in,8.0,6.0,3.7390000000000003
0.3157894736842105,26.0,S-LF,CMI_n26.in,26.0,38.0,6.335
0.5625,7.0,S-LF,CMI_n12.in,12.0,16.0,3.902
0.375,30.0,S-LF,CMI_n28.in,28.0,48.0,6.602
0.23404255319148937,36.0,S-LF,CMI_n30.in,30.0,47.0,7.072
0.42424242424242425,19.0,S-LF,CMI_n24.in,24.0,33.0,7.377
0.6666666666666666,9.0,W,CMI_n18.in,18.0,27.0,6.188
0.72,7.0,W,CMI_n20.in,20.0,25.0,6.781
0.5,6.0,W,CMI_n14.in,14.0,12.0,7.063
0.65,7.0,W,CMI_n16.in,16.0,20.0,6.165
0.6538461538461539,9.0,W,CMI_n22.in,22.0,26.0,8.635
0.0,1.0,W,CMI_n6.in,6.0,1.0,3.836
0.3333333333333333,2.0,W,CMI_n10.in,10.0,3.0,8.603
0.5,3.0,W,CMI_n8.in,8.0,6.0,5.152
0.6842105263157895,12.0,W,CMI_n26.in,26.0,38.0,10.068999999999999
0.6875,5.0,W,CMI_n12.in,12.0,16.0,5.013
0.7708333333333334,11.0,W,CMI_n28.in,28.0,48.0,10.687000000000001
0.723404255319149,13.0,W,CMI_n30.in,30.0,47.0,12.283000000000001
0.696969696969697,10.0,W,CMI_n24.in,24.0,33.0,13.513
0.5555555555555556,12.0,WP,CMI_n18.in,18.0,27.0,6.292
0.4,15.0,WP,CMI_n20.in,20.0,25.0,6.954
0.16666666666666666,10.0,WP,CMI_n14.in,14.0,12.0,5.947
0.45,11.0,WP,CMI_n16.in,16.0,20.0,6.0569999999999995
0.38461538461538464,16.0,WP,CMI_n22.in,22.0,26.0,8.817
0.0,1.0,WP,CMI_n6.in,6.0,1.0,5.0520000000000005
0.3333333333333333,2.0,WP,CMI_n10.in,10.0,3.0,6.011
0.3333333333333333,4.0,WP,CMI_n8.in,8.0,6.0,4.623
0.5,19.0,WP,CMI_n26.in,26.0,38.0,10.682
0.5,8.0,WP,CMI_n12.in,12.0,16.0,7.449
0.4375,27.0,WP,CMI_n28.in,28.0,48.0,15.298
0.574468085106383,20.0,WP,CMI_n30.in,30.0,47.0,13.209
0.45454545454545453,18.0,WP,CMI_n24.in,24.0,33.0,10.032
0.4444444444444444,15.0,S-LF,CMI_n18.in,18.0,27.0,4.909
0.6,10.0,S-LF,CMI_n20.in,20.0,25.0,4.963
0.3333333333333333,8.0,S-LF,CMI_n14.in,14.0,12.0,4.002000000000001
0.1,18.0,S-LF,CMI_n16.in,16.0,20.0,4.295
0.5384615384615384,12.0,S-LF,CMI_n22.in,22.0,26.0,5.3740000000000006
0.0,1.0,S-LF,CMI_n6.in,6.0,1.0,4.647
0.0,3.0,S-LF,CMI_n10.in,10.0,3.0,3.357
0.0,6.0,S-LF,CMI_n8.in,8.0,6.0,2.983
0.3157894736842105,26.0,S-LF,CMI_n26.in,26.0,38.0,6.178
0.5625,7.0,S-LF,CMI_n12.in,12.0,16.0,4.88
0.375,30.0,S-LF,CMI_n28.in,28.0,48.0,6.756
0.23404255319148937,36.0,S-LF,CMI_n30.in,30.0,47.0,7.305
0.42424242424242425,19.0,S-LF,CMI_n24.in,24.0,33.0,7.424
0.6666666666666666,9.0,W,CMI_n18.in,18.0,27.0,5.9959999999999996
0.72,7.0,W,CMI_n20.in,20.0,25.0,6.332
0.5,6.0,W,CMI_n14.in,14.0,12.0,5.37
0.65,7.0,W,CMI_n16.in,16.0,20.0,5.871
0.6538461538461539,9.0,W,CMI_n22.in,22.0,26.0,8.717
0.0,1.0,W,CMI_n6.in,6.0,1.0,3.9389999999999996
0.3333333333333333,2.0,W,CMI_n10.in,10.0,3.0,5.712
0.5,3.0,W,CMI_n8.in,8.0,6.0,3.953
0.6842105263157895,12.0,W,CMI_n26.in,26.0,38.0,14.308
0.6875,5.0,W,CMI_n12.in,12.0,16.0,4.989999999999999
0.7708333333333334,11.0,W,CMI_n28.in,28.0,48.0,14.878
0.723404255319149,13.0,W,CMI_n30.in,30.0,47.0,11.804
0.696969696969697,10.0,W,CMI_n24.in,24.0,33.0,10.343
0.5555555555555556,12.0,WP,CMI_n18.in,18.0,27.0,6.56
0.4,15.0,WP,CMI_n20.in,20.0,25.0,6.88
0.16666666666666666,10.0,WP,CMI_n14.in,14.0,12.0,5.5409999999999995
0.45,11.0,WP,CMI_n16.in,16.0,20.0,6.067
0.38461538461538464,16.0,WP,CMI_n22.in,22.0,26.0,8.821000000000002
0.0,1.0,WP,CMI_n6.in,6.0,1.0,3.6879999999999997
0.3333333333333333,2.0,WP,CMI_n10.in,10.0,3.0,6.059
0.3333333333333333,4.0,WP,CMI_n8.in,8.0,6.0,4.737
0.5,19.0,WP,CMI_n26.in,26.0,38.0,10.885
0.5,8.0,WP,CMI_n12.in,12.0,16.0,5.301
0.4375,27.0,WP,CMI_n28.in,28.0,48.0,16.646
0.574468085106383,20.0,WP,CMI_n30.in,30.0,47.0,12.08
0.45454545454545453,18.0,WP,CMI_n24.in,24.0,33.0,13.908999999999999
